Company,ISIN,Country,Publication date,Claim full compliance,Name of Auditor,Report link,SASB industry (SICS® Industries)
Netcompany,DK0060952919,Denmark,2025-01-29,TRUE,EY,https://netcompany.com/investor/annual-report/,Internet Media & Services
Tryg,DK0060636678,Denmark,2025-01-23,TRUE,PwC,https://tryg.com/sites/tryg.com/files/2025-01/Annual%20Report%202024%20-%20TRYG%20A_S.pdf,Insurance
DSV Panalpina,DK0060079531,Denmark,2025-02-04,TRUE,PwC,https://investor.dsv.com/static-files/d34d3dfc-e1fe-4a25-a2c8-9d736830025a,Air Freight & Logistics
Lundbeck,DK0061804697,Denmark,2025-02-04,TRUE,PwC,https://www.lundbeck.com/content/dam/lundbeck-com/masters/global-site/global-site/investors/2024/fy24/Lundbeck%20Annual%20Report%202024.pdf,Biotechnology & Pharmaceuticals
Vestas,DK0061539921,Denmark,2025-02-05,TRUE,Deloitte,https://www.vestas.com/content/dam/vestas-com/global/en/investor/reports-and-presentations/financial/2024/fy-2024/Vestas%20Annual%20Report%202024.pdf.coredownload.inline.pdf,Wind Technology & Project Developers
Demant,DK0060738599,Denmark,2025-02-05,TRUE,PwC,https://assets-we.cas.dgs.com/-/media/demant/shared/new-library-2022/financial-reports/annual-report-english/demant-annual-report-2024_2.pdf?la=en&rev=0487&hash=BF20FE17B1586ABE0B06D808F899EC67,Medical Equipment & Supplies
Pandora,DK0060252690,Denmark,2025-02-05,TRUE,EY,https://ml-eu.globenewswire.com/Resource/Download/edd04a03-bc89-4cc9-8924-4439f5efd4b0,"Apparel, Accessories & Footwear"
Novo Nordisk,DK0062498333,Denmark,2025-02-05,TRUE,Deloitte,https://www.novonordisk.com/content/dam/nncorp/global/en/investors/irmaterial/annual_report/2025/novo-nordisk-annual-report-2024.pdf,Biotechnology & Pharmaceuticals
Ringkjøbing Landbobank,DK0060854669,Denmark,2025-02-05,TRUE,PwC,https://attachment.news.eu.nasdaq.com/aba5d8f5b0b18efd66154512ade0b124d,Commercial Banks
Nykredit,DK000954829,Denmark,2025-02-05,TRUE,EY,https://www.nykredit.com/siteassets/ir/files/financial-reporting/financial-reports/nykredit/2024/nykredit_q4_24_2025-02-05_en.pdf,Commercial Banks
